Månad,kr/kvm,antal försäljningar
dec -21,111869,551
jan -22,114186,858
feb -22,114920,1183
mar -22,114692,1278
apr -22,112846,1095
maj -22,109227,996
jun -22,105265,786
jul -22,102024,326
aug -22,100741,706
sep -22,100111,974
okt -22,99480,927
nov -22,98885,867
dec -22,100057,463
jan -23,101306,669
feb -23,102679,922
mar -23,103013,998
apr -23,104137,859
maj -23,104845,1029
jun -23,105679,868
jul -23,106060,318
aug -23,105113,780
sep -23,103889,1044
okt -23,102502,1021
nov -23,101975,919
dec -23,102002,517
jan -24,103381,796
feb -24,104517,1054
mar -24,106105,1121
apr -24,107664,1054
maj -24,108425,1292
jun -24,108468,895
jul -24,108047,328
aug -24,108564,908
sep -24,109107,1344
okt -24,109322,1505
nov -24,109176,1155
dec -24,109829,562
jan -25,111117,921
feb -25,111494,1058
mar -25,111492,1133
apr -25,111217,1047
maj -25,111033,1138
jun -25,110431,893
jul -25,110385,358
aug -25,111390,902
sep -25,112547,1345
okt -25,112734,1316
nov -25,113054,1046
