period,indicator_code,indicator_name,value
2020M01,BBYG,Construction_Confidence,106.8
2020M01,BTOT,Business_Sector_Confidence,99.2
2020M01,KIFI,Economic_Tendency_Indicator,97.6
2020M01,bhus,Consumer_Confidence,98.1
2020M01,bhusmakro,Consumer_Macro_Index,91.7
2020M01,bhusmikro,Consumer_Micro_Index,100.7
2020M02,BBYG,Construction_Confidence,103.1
2020M02,BTOT,Business_Sector_Confidence,99.7
2020M02,KIFI,Economic_Tendency_Indicator,99.4
2020M02,bhus,Consumer_Confidence,101.3
2020M02,bhusmakro,Consumer_Macro_Index,92.6
2020M02,bhusmikro,Consumer_Micro_Index,101.9
2020M03,BBYG,Construction_Confidence,102.8
2020M03,BTOT,Business_Sector_Confidence,94.3
2020M03,KIFI,Economic_Tendency_Indicator,94.1
2020M03,bhus,Consumer_Confidence,96.3
2020M03,bhusmakro,Consumer_Macro_Index,88.7
2020M03,bhusmikro,Consumer_Micro_Index,98.5
2020M04,BBYG,Construction_Confidence,94.6
2020M04,BTOT,Business_Sector_Confidence,57.8
2020M04,KIFI,Economic_Tendency_Indicator,61.1
2020M04,bhus,Consumer_Confidence,85.3
2020M04,bhusmakro,Consumer_Macro_Index,80.1
2020M04,bhusmikro,Consumer_Micro_Index,89.5
2020M05,BBYG,Construction_Confidence,88.4
2020M05,BTOT,Business_Sector_Confidence,60.0
2020M05,KIFI,Economic_Tendency_Indicator,64.4
2020M05,bhus,Consumer_Confidence,86.3
2020M05,bhusmakro,Consumer_Macro_Index,77.9
2020M05,bhusmikro,Consumer_Micro_Index,93.3
2020M06,BBYG,Construction_Confidence,90.1
2020M06,BTOT,Business_Sector_Confidence,69.7
2020M06,KIFI,Economic_Tendency_Indicator,75.9
2020M06,bhus,Consumer_Confidence,90.9
2020M06,bhusmakro,Consumer_Macro_Index,84.4
2020M06,bhusmikro,Consumer_Micro_Index,96.0
2020M07,BBYG,Construction_Confidence,92.6
2020M07,BTOT,Business_Sector_Confidence,81.1
2020M07,KIFI,Economic_Tendency_Indicator,85.0
2020M07,bhus,Consumer_Confidence,92.4
2020M07,bhusmakro,Consumer_Macro_Index,85.2
2020M07,bhusmikro,Consumer_Micro_Index,97.5
2020M08,BBYG,Construction_Confidence,92.8
2020M08,BTOT,Business_Sector_Confidence,85.5
2020M08,KIFI,Economic_Tendency_Indicator,87.8
2020M08,bhus,Consumer_Confidence,92.8
2020M08,bhusmakro,Consumer_Macro_Index,87.8
2020M08,bhusmikro,Consumer_Micro_Index,96.8
2020M09,BBYG,Construction_Confidence,92.3
2020M09,BTOT,Business_Sector_Confidence,92.5
2020M09,KIFI,Economic_Tendency_Indicator,94.9
2020M09,bhus,Consumer_Confidence,95.5
2020M09,bhusmakro,Consumer_Macro_Index,91.1
2020M09,bhusmikro,Consumer_Micro_Index,99.1
2020M10,BBYG,Construction_Confidence,91.0
2020M10,BTOT,Business_Sector_Confidence,93.7
2020M10,KIFI,Economic_Tendency_Indicator,95.8
2020M10,bhus,Consumer_Confidence,97.3
2020M10,bhusmakro,Consumer_Macro_Index,92.7
2020M10,bhusmikro,Consumer_Micro_Index,99.0
2020M11,BBYG,Construction_Confidence,95.5
2020M11,BTOT,Business_Sector_Confidence,94.6
2020M11,KIFI,Economic_Tendency_Indicator,97.9
2020M11,bhus,Consumer_Confidence,96.1
2020M11,bhusmakro,Consumer_Macro_Index,90.0
2020M11,bhusmikro,Consumer_Micro_Index,99.1
2020M12,BBYG,Construction_Confidence,94.1
2020M12,BTOT,Business_Sector_Confidence,93.7
2020M12,KIFI,Economic_Tendency_Indicator,97.2
2020M12,bhus,Consumer_Confidence,98.0
2020M12,bhusmakro,Consumer_Macro_Index,93.6
2020M12,bhusmikro,Consumer_Micro_Index,101.1
2021M01,BBYG,Construction_Confidence,92.7
2021M01,BTOT,Business_Sector_Confidence,98.0
2021M01,KIFI,Economic_Tendency_Indicator,102.9
2021M01,bhus,Consumer_Confidence,99.7
2021M01,bhusmakro,Consumer_Macro_Index,96.8
2021M01,bhusmikro,Consumer_Micro_Index,102.3
2021M02,BBYG,Construction_Confidence,94.7
2021M02,BTOT,Business_Sector_Confidence,100.8
2021M02,KIFI,Economic_Tendency_Indicator,104.6
2021M02,bhus,Consumer_Confidence,101.7
2021M02,bhusmakro,Consumer_Macro_Index,99.4
2021M02,bhusmikro,Consumer_Micro_Index,104.3
2021M03,BBYG,Construction_Confidence,96.0
2021M03,BTOT,Business_Sector_Confidence,100.9
2021M03,KIFI,Economic_Tendency_Indicator,105.8
2021M03,bhus,Consumer_Confidence,102.2
2021M03,bhusmakro,Consumer_Macro_Index,101.2
2021M03,bhusmikro,Consumer_Micro_Index,103.9
2021M04,BBYG,Construction_Confidence,99.9
2021M04,BTOT,Business_Sector_Confidence,110.4
2021M04,KIFI,Economic_Tendency_Indicator,112.7
2021M04,bhus,Consumer_Confidence,105.1
2021M04,bhusmakro,Consumer_Macro_Index,105.8
2021M04,bhusmikro,Consumer_Micro_Index,105.3
2021M05,BBYG,Construction_Confidence,103.7
2021M05,BTOT,Business_Sector_Confidence,113.6
2021M05,KIFI,Economic_Tendency_Indicator,117.1
2021M05,bhus,Consumer_Confidence,109.6
2021M05,bhusmakro,Consumer_Macro_Index,109.1
2021M05,bhusmikro,Consumer_Micro_Index,108.5
2021M06,BBYG,Construction_Confidence,106.5
2021M06,BTOT,Business_Sector_Confidence,115.6
2021M06,KIFI,Economic_Tendency_Indicator,117.2
2021M06,bhus,Consumer_Confidence,107.1
2021M06,bhusmakro,Consumer_Macro_Index,112.2
2021M06,bhusmikro,Consumer_Micro_Index,105.6
2021M07,BBYG,Construction_Confidence,108.5
2021M07,BTOT,Business_Sector_Confidence,119.8
2021M07,KIFI,Economic_Tendency_Indicator,121.2
2021M07,bhus,Consumer_Confidence,107.7
2021M07,bhusmakro,Consumer_Macro_Index,112.2
2021M07,bhusmikro,Consumer_Micro_Index,105.9
2021M08,BBYG,Construction_Confidence,107.3
2021M08,BTOT,Business_Sector_Confidence,117.1
2021M08,KIFI,Economic_Tendency_Indicator,120.2
2021M08,bhus,Consumer_Confidence,108.8
2021M08,bhusmakro,Consumer_Macro_Index,112.7
2021M08,bhusmikro,Consumer_Micro_Index,106.1
2021M09,BBYG,Construction_Confidence,108.0
2021M09,BTOT,Business_Sector_Confidence,118.6
2021M09,KIFI,Economic_Tendency_Indicator,120.2
2021M09,bhus,Consumer_Confidence,108.9
2021M09,bhusmakro,Consumer_Macro_Index,113.4
2021M09,bhusmikro,Consumer_Micro_Index,105.0
2021M10,BBYG,Construction_Confidence,110.0
2021M10,BTOT,Business_Sector_Confidence,121.2
2021M10,KIFI,Economic_Tendency_Indicator,122.5
2021M10,bhus,Consumer_Confidence,107.2
2021M10,bhusmakro,Consumer_Macro_Index,112.9
2021M10,bhusmikro,Consumer_Micro_Index,105.3
2021M11,BBYG,Construction_Confidence,110.5
2021M11,BTOT,Business_Sector_Confidence,121.3
2021M11,KIFI,Economic_Tendency_Indicator,120.9
2021M11,bhus,Consumer_Confidence,103.8
2021M11,bhusmakro,Consumer_Macro_Index,110.8
2021M11,bhusmikro,Consumer_Micro_Index,101.5
2021M12,BBYG,Construction_Confidence,108.0
2021M12,BTOT,Business_Sector_Confidence,119.0
2021M12,KIFI,Economic_Tendency_Indicator,120.5
2021M12,bhus,Consumer_Confidence,103.1
2021M12,bhusmakro,Consumer_Macro_Index,107.6
2021M12,bhusmikro,Consumer_Micro_Index,102.0
2022M01,BBYG,Construction_Confidence,111.2
2022M01,BTOT,Business_Sector_Confidence,113.6
2022M01,KIFI,Economic_Tendency_Indicator,114.5
2022M01,bhus,Consumer_Confidence,96.6
2022M01,bhusmakro,Consumer_Macro_Index,102.7
2022M01,bhusmikro,Consumer_Micro_Index,96.4
2022M02,BBYG,Construction_Confidence,109.2
2022M02,BTOT,Business_Sector_Confidence,116.2
2022M02,KIFI,Economic_Tendency_Indicator,115.7
2022M02,bhus,Consumer_Confidence,95.8
2022M02,bhusmakro,Consumer_Macro_Index,105.0
2022M02,bhusmikro,Consumer_Micro_Index,96.3
2022M03,BBYG,Construction_Confidence,109.7
2022M03,BTOT,Business_Sector_Confidence,115.5
2022M03,KIFI,Economic_Tendency_Indicator,113.3
2022M03,bhus,Consumer_Confidence,85.6
2022M03,bhusmakro,Consumer_Macro_Index,91.6
2022M03,bhusmikro,Consumer_Micro_Index,88.3
2022M04,BBYG,Construction_Confidence,106.5
2022M04,BTOT,Business_Sector_Confidence,113.5
2022M04,KIFI,Economic_Tendency_Indicator,110.8
2022M04,bhus,Consumer_Confidence,84.7
2022M04,bhusmakro,Consumer_Macro_Index,91.2
2022M04,bhusmikro,Consumer_Micro_Index,88.8
2022M05,BBYG,Construction_Confidence,106.3
2022M05,BTOT,Business_Sector_Confidence,113.1
2022M05,KIFI,Economic_Tendency_Indicator,110.8
2022M05,bhus,Consumer_Confidence,79.9
2022M05,bhusmakro,Consumer_Macro_Index,87.0
2022M05,bhusmikro,Consumer_Micro_Index,83.1
2022M06,BBYG,Construction_Confidence,104.8
2022M06,BTOT,Business_Sector_Confidence,108.2
2022M06,KIFI,Economic_Tendency_Indicator,105.4
2022M06,bhus,Consumer_Confidence,76.6
2022M06,bhusmakro,Consumer_Macro_Index,84.0
2022M06,bhusmikro,Consumer_Micro_Index,80.1
2022M07,BBYG,Construction_Confidence,104.7
2022M07,BTOT,Business_Sector_Confidence,105.9
2022M07,KIFI,Economic_Tendency_Indicator,103.7
2022M07,bhus,Consumer_Confidence,69.7
2022M07,bhusmakro,Consumer_Macro_Index,80.6
2022M07,bhusmikro,Consumer_Micro_Index,71.2
2022M08,BBYG,Construction_Confidence,104.1
2022M08,BTOT,Business_Sector_Confidence,101.9
2022M08,KIFI,Economic_Tendency_Indicator,99.7
2022M08,bhus,Consumer_Confidence,70.4
2022M08,bhusmakro,Consumer_Macro_Index,83.3
2022M08,bhusmikro,Consumer_Micro_Index,71.1
2022M09,BBYG,Construction_Confidence,104.9
2022M09,BTOT,Business_Sector_Confidence,98.5
