Månad,kr/kvm,antal försäljningar
dec -21,111869,551
jan -22,114186,858
feb -22,114920,1183
mar -22,114692,1278
apr -22,112846,1095
maj -22,109227,996
jun -22,105552,799
jul -22,102346,336
aug -22,100993,714
sep -22,100433,990
okt -22,99765,965
nov -22,99275,907
dec -22,100356,481
jan -23,101640,697
feb -23,102921,979
mar -23,103239,1041
apr -23,104454,895
maj -23,105131,1077
jun -23,105898,873
jul -23,106124,321
aug -23,105240,791
sep -23,104037,1061
okt -23,102676,1031
nov -23,102120,923
dec -23,102142,525
jan -24,103542,800
feb -24,104660,1063
mar -24,106278,1135
apr -24,107824,1065
maj -24,108571,1310
jun -24,108625,898
jul -24,108175,326
aug -24,108817,915
sep -24,109262,1361
okt -24,109534,1518
nov -24,109396,1165
dec -24,110162,562
jan -25,111371,931
feb -25,111750,1064
mar -25,111700,1148
apr -25,111544,1053
maj -25,111264,1149
jun -25,110709,902
jul -25,110501,362
aug -25,111536,915
sep -25,112724,1347
okt -25,112912,1333
nov -25,113434,1069
dec -25,113856,610
jan -26,116603,954
feb -26,118350,1115
mar -26,120022,1376
apr -26,120118,1240
maj -26,120212,1285
