period,quarter,gdp_growth_percent
2020-01,2020K1,2.8
2020-04,2020K2,-7.2
2020-07,2020K3,-1.6
2020-10,2020K4,-1.5
2021-01,2021K1,0.1
2021-04,2021K2,11.2
2021-07,2021K3,4.2
2021-10,2021K4,5.5
2022-01,2022K1,2.8
2022-04,2022K2,1.5
2022-07,2022K3,2.1
2022-10,2022K4,-1.0
2023-01,2023K1,1.3
2023-04,2023K2,-1.6
2023-07,2023K3,-0.3
2023-10,2023K4,-0.1
2024-01,2024K1,-0.6
2024-04,2024K2,0.8
2024-07,2024K3,1.6
2024-10,2024K4,1.5
2025-01,2025K1,-0.1
2025-04,2025K2,0.8
2025-07,2025K3,1.1
2025-10,2025K4,0.8
2026-01,2026K1,-0.2
